seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
25	1573229628.734693067	-1.24017	-2.11062	-1.72284	-1.57114	0.60054	0.732184	0.027341	0.0280106	0.0280859	0.0272235	0.0272911	0.0281822	16.2221	82.6063	33.289	4.89472	2.11769	2.59666	
26	1573229628.742694213	-1.24004	-2.11049	-1.72271	-1.57101	0.60068	0.732316	0.0271705	0.0278232	0.0279297	0.0270467	0.0272072	0.0280716	16.2357	82.6019	33.2838	4.88919	2.11409	2.592	
27	1573229628.750671542	-1.23992	-2.11036	-1.72258	-1.57088	0.600818	0.73245	0.0270066	0.0276713	0.0277739	0.0268532	0.0271029	0.0279489	16.2319	82.5987	33.2778	4.88905	2.11264	2.59285	
28	1573229628.758694378	-1.23979	-2.11023	-1.72245	-1.57074	0.600956	0.732588	0.0268898	0.0274861	0.0274676	0.0266557	0.0270165	0.0279581	16.2584	82.6612	33.2945	4.88585	2.10322	2.58674	
29	1573229628.766693625	-1.23966	-2.1101	-1.72232	-1.57061	0.601098	0.732725	0.0267926	0.0272847	0.0273254	0.0264697	0.0269165	0.027907	16.219	82.5823	33.2421	4.88592	2.11309	2.59452	
30	1573229628.774685498	-1.23953	-2.10997	-1.7222	-1.57048	0.601236	0.732862	0.0266826	0.027113	0.027171	0.0263389	0.0267336	0.0278558	16.2237	82.6092	33.2621	4.8857	2.1049	2.5908	
31	1573229628.782644299	-1.2394	-2.10984	-1.72207	-1.57035	0.601371	0.733001	0.026591	0.0269262	0.0270619	0.0261686	0.0265425	0.0277775	16.2208	82.5784	33.2353	4.8841	2.10779	2.59103	
32	1573229628.790706556	-1.23927	-2.10971	-1.72193	-1.57022	0.601505	0.73314	0.0264679	0.0267288	0.0270218	0.026036	0.0263548	0.0276252	16.1963	82.6062	33.2595	4.88751	2.10627	2.58973	
33	1573229628.798699013	-1.23914	-2.10959	-1.7218	-1.57009	0.601641	0.73328	0.0263205	0.026513	0.0269554	0.0259232	0.0261734	0.0274811	16.1978	82.6048	33.2613	4.88807	2.10381	2.588	
34	1573229628.806691423	-1.23901	-2.10946	-1.72167	-1.56996	0.601774	0.733418	0.0261848	0.0263392	0.0269525	0.02584	0.0260297	0.0273578	16.1814	82.5848	33.2636	4.89401	2.10993	2.5908	
35	1573229628.814701850	-1.23888	-2.10933	-1.72153	-1.56983	0.601908	0.733554	0.0260621	0.0261996	0.0268672	0.0257735	0.0259479	0.0271592	16.1939	82.5894	33.2697	4.88739	2.10424	2.58515	
36	1573229628.822704719	-1.23875	-2.1092	-1.7214	-1.56969	0.602037	0.733691	0.0259463	0.026042	0.0268038	0.0256838	0.0257016	0.0269552	16.1906	82.5824	33.2599	4.88166	2.09438	2.5856	
37	1573229628.830688231	-1.23862	-2.10907	-1.72126	-1.56956	0.602166	0.733826	0.0258046	0.0258785	0.0267783	0.0255504	0.0254135	0.026819	16.1784	82.588	33.2766	4.89013	2.09617	2.58478	
38	1573229628.838668024	-1.23849	-2.10894	-1.72113	-1.56943	0.602296	0.733963	0.0256983	0.0257206	0.0267448	0.0254405	0.0252136	0.0267029	16.1819	82.5846	33.2768	4.88948	2.0956	2.58388	
39	1573229628.846665693	-1.23836	-2.10881	-1.72098	-1.5693	0.602428	0.734096	0.0255991	0.0255578	0.0267833	0.0253108	0.025062	0.0265685	16.1821	82.5803	33.2881	4.89065	2.0982	2.58492	
40	1573229628.854685230	-1.23822	-2.10869	-1.72084	-1.56916	0.602557	0.734233	0.0255464	0.0253997	0.0268111	0.0252118	0.0249708	0.0264963	16.1829	82.5815	33.3029	4.89409	2.10037	2.58478	
41	1573229628.862678666	-1.23809	-2.10856	-1.7207	-1.56903	0.602687	0.73437	0.0254696	0.0252702	0.0268037	0.0252063	0.0248926	0.0263861	16.1664	82.5771	33.3116	4.89213	2.09927	2.58392	
42	1573229628.870659311	-1.23796	-2.10843	-1.72055	-1.56889	0.602815	0.734507	0.0253453	0.0251658	0.0267647	0.0251383	0.0247805	0.0262254	16.1652	82.5814	33.3222	4.89645	2.09198	2.57862	
43	1573229628.878684741	-1.23782	-2.1083	-1.72041	-1.56875	0.602945	0.734644	0.0252504	0.0250691	0.0266295	0.0250588	0.0247179	0.026139	16.1883	82.5964	33.3293	4.89117	2.09133	2.57899	
44	1573229628.886673194	-1.23769	-2.10817	-1.72027	-1.56862	0.603077	0.734781	0.0251347	0.0249918	0.0264686	0.0249876	0.0246286	0.0260352	16.156	82.5815	33.3146	4.89503	2.088	2.57709	
45	1573229628.894683384	-1.23756	-2.10803	-1.72013	-1.56848	0.603209	0.734916	0.0250256	0.0249085	0.0263578	0.0248165	0.0245169	0.0258933	16.1877	82.5847	33.3115	4.89022	2.08222	2.57356	
46	1573229628.902662609	-1.23743	-2.1079	-1.71999	-1.56835	0.603341	0.735052	0.0249558	0.0248165	0.0262405	0.0246248	0.0244437	0.0258092	16.1763	82.5859	33.3113	4.89395	2.08647	2.57607	
47	1573229628.910706820	-1.2373	-2.10777	-1.71985	-1.56822	0.603475	0.735189	0.0248693	0.0247342	0.0261636	0.0244491	0.0244037	0.0257188	16.1727	82.5655	33.3014	4.89393	2.08582	2.57512	
48	1573229628.918820026	-1.23716	-2.10764	-1.7197	-1.56808	0.603607	0.735327	0.0248105	0.0246414	0.0261631	0.0243449	0.0243065	0.0256331	16.1552	82.577	33.3149	4.89373	2.08914	2.57864	
49	1573229628.926666898	-1.23702	-2.10751	-1.71956	-1.56795	0.60374	0.735464	0.0247572	0.0245518	0.0260981	0.0242902	0.0242905	0.0255494	16.17	82.5888	33.3307	4.89825	2.0898	2.57451	
50	1573229628.934676630	-1.23689	-2.10738	-1.71941	-1.56781	0.603877	0.735602	0.0246732	0.0244736	0.0260688	0.0242409	0.0243447	0.0254762	16.1487	82.5747	33.3264	4.89981	2.09124	2.57737	
51	1573229628.942677122	-1.23676	-2.10724	-1.71927	-1.56767	0.604015	0.735739	0.0246064	0.0244103	0.0260063	0.0242109	0.0243315	0.0254376	16.1674	82.5884	33.3405	4.89478	2.08444	2.57446	
52	1573229628.950680591	-1.23662	-2.10711	-1.71913	-1.56754	0.604152	0.735878	0.0245092	0.0243489	0.0258038	0.0241458	0.024333	0.0253914	16.15	82.6054	33.3462	4.90196	2.08199	2.56972	
53	1573229628.958732737	-1.23649	-2.10697	-1.71899	-1.5674	0.604293	0.736018	0.024395	0.0243058	0.0256383	0.0240715	0.0243936	0.0253247	16.1497	82.5844	33.3242	4.90105	2.08595	2.57232	
54	1573229628.966679789	-1.23635	-2.10684	-1.71885	-1.56726	0.604435	0.736157	0.0243744	0.0242551	0.0254423	0.0240314	0.0244163	0.0252061	16.1911	82.5952	33.319	4.88487	2.07986	2.5687	
55	1573229628.974673358	-1.23622	-2.1067	-1.71871	-1.56712	0.604576	0.736296	0.0243788	0.024199	0.0252431	0.0239979	0.0244062	0.0251196	16.1666	82.5856	33.3069	4.89489	2.08236	2.57152	
56	1573229628.982675786	-1.23608	-2.10656	-1.71857	-1.56698	0.604715	0.736435	0.0243316	0.0242044	0.0250552	0.0239468	0.0243633	0.0250936	16.1568	82.5634	33.295	4.89752	2.07835	2.57002	
57	1573229628.990698052	-1.23594	-2.10643	-1.71844	-1.56685	0.604857	0.736579	0.0242944	0.0241663	0.0248434	0.0238396	0.0243537	0.0250282	16.1707	82.6072	33.2984	4.89514	2.07594	2.56523	
