seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
26	1580482312.264698709	0.00240508	-0.895042	2.13238	-2.79043	-1.56952	-2.62333	0	0	-0	0	0	0	0	0	-0	0	0	0	
27	1580482312.272698587	0.00238112	-0.895066	2.1324	-2.79044	-1.56951	-2.62331	0	0	-0	0	0	0	0	0	-0	0	0	0	
28	1580482312.280673643	0.0023931	-0.895054	2.13236	-2.79044	-1.56956	-2.62327	0	0	-0	0	0	0	0	0	-0	0	0	0	
29	1580482312.288668234	0.00238112	-0.895089	2.13235	-2.79041	-1.56954	-2.62331	0	0	-0	0	0	0	0	0	-0	0	0	0	
30	1580482312.296674280	0.00238112	-0.895078	2.13235	-2.79043	-1.56954	-2.62332	0	0	-0	0	0	0	0	0	-0	0	0	0	
31	1580482312.304669129	0.00241707	-0.895066	2.13237	-2.79043	-1.56952	-2.62331	0	0	-0	0	0	0	0	0	-0	0	0	0	
32	1580482312.312672740	0.0023931	-0.895054	2.13235	-2.79044	-1.56952	-2.62327	0	0	-0	0	0	0	0	0	-0	0	0	0	
33	1580482312.320693813	0.00238112	-0.895066	2.13235	-2.79043	-1.56952	-2.62327	0	0	-0	0	0	0	0	0	-0	0	0	0	
34	1580482312.328723097	0.0023931	-0.895078	2.13241	-2.79044	-1.56952	-2.6233	0	0	-0	0	0	0	0	0	-0	0	0	0	
35	1580482312.336690503	0.00236913	-0.895102	2.13236	-2.79045	-1.56956	-2.62325	0	0	-0	0	0	0	0	0	-0	0	0	0	
36	1580482312.344690082	0.0023931	-0.895066	2.13236	-2.7904	-1.56954	-2.62327	0	0	-0	0	0	0	0	0	-0	0	0	0	
37	1580482312.352676028	0.0023931	-0.895042	2.13242	-2.79043	-1.56955	-2.6233	0	0	-0	0	0	0	0	0	-0	0	0	0	
38	1580482312.360752229	0.0023931	-0.895089	2.13238	-2.79041	-1.56952	-2.62332	0	0	-0	0	0	0	0	0	-0	0	0	0	
39	1580482312.368744982	0.00240508	-0.895078	2.13238	-2.79041	-1.56955	-2.62327	0	0	-0	0	0	0	0	0	-0	0	0	0	
40	1580482312.376709651	0.00240508	-0.895089	2.13235	-2.79043	-1.56956	-2.6233	0	0	-0	0	0	0	0	0	-0	0	0	0	
41	1580482312.384704023	0.00233318	-0.895102	2.13241	-2.79041	-1.56952	-2.62327	0	0	-0	0	0	0	0	0	-0	0	0	0	
42	1580482312.392839386	0.00241707	-0.895066	2.13232	-2.79043	-1.56957	-2.6233	0	0	-0	0	0	0	0	0	-0	0	0	0	
43	1580482312.400720091	0.00236913	-0.895089	2.13234	-2.79045	-1.56954	-2.62327	0	0	-0	0	0	0	0	0	-0	0	0	0	
44	1580482312.408666070	0.00240508	-0.895078	2.13234	-2.79043	-1.56957	-2.62331	0	0	-0	0	0	0	0	0	-0	0	0	0	
45	1580482312.416684190	0.0023931	-0.895066	2.13234	-2.79046	-1.56952	-2.62326	0	0	-0	0	0	0	0	0	-0	0	0	0	
46	1580482312.424724936	0.00238112	-0.895066	2.13236	-2.7904	-1.56954	-2.62329	0	0	-0	0	0	0	0	0	-0	0	0	0	
47	1580482312.432687319	0.0023931	-0.895102	2.13234	-2.79043	-1.56955	-2.62331	0	0	-0	0	0	0	0	0	-0	0	0	0	
48	1580482312.440703785	0.00240508	-0.895054	2.13238	-2.7904	-1.56955	-2.62326	0	0	-0	0	0	0	0	0	-0	0	0	0	
49	1580482312.448669259	0.0023931	-0.895078	2.1324	-2.79041	-1.56956	-2.62329	0	0	-0	0	0	0	0	0	-0	0	0	0	
50	1580482312.456703361	0.00236913	-0.895089	2.13234	-2.79041	-1.56954	-2.62332	0	0	-0	0	0	0	0	0	-0	0	0	0	
51	1580482312.464674097	0.00240508	-0.895089	2.13237	-2.79041	-1.56952	-2.62335	0	0	-0	0	0	0	0	0	-0	0	0	0	
