seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
26	1580406961.022702951	0.00247968	-0.928844	2.13525	-2.77702	-1.56958	-2.62321	-1.7313e-05	-7.54729e-05	-1.12742e-05	2.3815e-05	1.57398e-05	-3.6114e-06	-15.5171	-13.9248	-0.000946734	2.55318	2.58605	-2.26102	
27	1580406961.030733128	0.00247928	-0.928844	2.13525	-2.77702	-1.56958	-2.62321	-1.91001e-05	-7.06192e-05	-2.38424e-05	1.94072e-05	1.46214e-05	5.65506e-07	-15.5172	-13.9247	-0.00200213	2.55317	2.58604	1.27862	
28	1580406961.038730524	0.00247891	-0.928843	2.13525	-2.77702	-1.56958	-2.62321	-2.06776e-05	-6.59355e-05	-2.30049e-05	1.53124e-05	1.96972e-05	-2.02981e-05	-15.5172	-13.9247	-0.00193181	2.55315	2.58606	-2.26107	
29	1580406961.046748466	0.00248066	-0.928843	2.13525	-2.77702	-1.56958	-2.62321	-9.8145e-06	-6.14201e-05	-9.75028e-06	5.42454e-06	1.21115e-05	-2.6917e-06	-15.5169	-13.9246	-0.000818767	2.55312	2.58603	-2.26102	
30	1580406961.054733744	0.00248023	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.19643e-05	-5.10318e-05	-2.19716e-05	2.07421e-05	1.71993e-05	-4.65091e-06	-15.517	-13.9244	-0.00184504	2.55317	2.58605	-2.26103	
31	1580406961.062697647	0.00248191	-0.92884	2.13525	-2.77702	-1.56958	-2.62321	-1.85635e-06	-4.13237e-05	-2.93623e-06	2.27575e-05	1.58281e-05	5.54924e-06	-15.5167	-13.9242	-0.000246566	2.55318	2.58605	2.26103	
32	1580406961.070752507	0.0024804	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.04901e-05	-5.00919e-05	-9.46138e-06	1.83607e-05	2.04654e-05	-8.98598e-06	-15.5169	-13.9244	-0.000794507	2.55316	2.58606	-2.26104	
33	1580406961.078734866	0.00248	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.24643e-05	-4.61877e-05	2.48669e-06	2.03976e-05	1.87707e-05	-1.64155e-05	-15.517	-13.9243	0.000208817	2.55317	2.58606	-2.26106	
34	1580406961.086708382	0.00247962	-0.928842	2.13525	-2.77702	-1.56958	-2.62321	-1.42413e-05	-4.82904e-05	1.52384e-06	2.22099e-05	2.88566e-05	-1.13771e-05	-15.517	-13.9243	0.000127963	2.55317	2.58609	-2.26104	
35	1580406961.094780623	0.00247824	-0.928839	2.13525	-2.77702	-1.56958	-2.62321	-2.16681e-05	-2.68428e-05	6.27035e-07	3.54202e-05	2.64393e-05	-1.25096e-05	-15.5172	-13.924	5.26545e-05	2.55322	2.58609	-2.26105	
36	1580406961.102717642	0.00247997	-0.928841	2.13525	-2.77702	-1.56958	-2.62321	-1.10635e-05	-3.58096e-05	-2.06583e-07	2.4199e-05	2.41364e-05	-1.35111e-05	-15.5169	-13.9241	-1.73475e-05	2.55318	2.58608	-2.26105	
37	1580406961.110745653	0.0024786	-0.928838	2.13525	-2.77702	-1.56958	-2.62321	-1.85097e-05	-2.10699e-05	1.06848e-05	1.37944e-05	1.62265e-05	-2.02221e-05	-15.5171	-13.9238	0.000897246	2.55315	2.58605	-2.26107	
38	1580406961.118715327	0.00247829	-0.92884	2.13525	-2.77702	-1.56958	-2.62321	-1.96077e-05	-3.01143e-05	3.42632e-06	1.57466e-05	1.45673e-05	-9.19985e-06	-15.5172	-13.924	0.000287721	2.55315	2.58604	-2.26104	
39	1580406961.126722114	0.00247801	-0.928839	2.13525	-2.77702	-1.56958	-2.62321	-2.05609e-05	-2.14394e-05	7.98989e-06	1.74988e-05	7.3597e-06	9.90534e-07	-15.5172	-13.9239	0.00067094	2.55316	2.58602	2.23961	
40	1580406961.134747469	0.00247574	-0.928838	2.13525	-2.77702	-1.56958	-2.62321	-3.26272e-05	-1.3359e-05	6.57442e-06	1.90624e-05	6.90672e-07	4.79436e-06	-15.5175	-13.9237	0.000552078	2.55316	1.78607	2.26103	
41	1580406961.142704275	0.00247358	-0.928833	2.13525	-2.77702	-1.56958	-2.62321	-4.36635e-05	1.08192e-05	5.24372e-06	2.04485e-05	-1.10209e-05	-2.92785e-06	-15.5178	13.9237	0.000440334	2.55317	-2.58603	-2.26102	
42	1580406961.150738658	0.00247351	-0.928834	2.13525	-2.77702	-1.56958	-2.62321	-4.26304e-05	5.5394e-06	3.99462e-06	1.59298e-05	-5.25015e-06	-4.41615e-06	-15.5178	13.9236	0.000335443	2.55315	-2.58601	-2.26103	
43	1580406961.158786407	0.00247543	-0.928831	2.13525	-2.77702	-1.56958	-2.62321	-3.05357e-05	2.25823e-05	-2.65507e-06	1.74078e-05	-5.3866e-06	-1.6842e-05	-15.5174	13.9239	-0.000222956	2.55316	-2.58601	-2.26106	
44	1580406961.166735277	0.00247333	-0.928832	2.13525	-2.77702	-1.56958	-2.62321	-4.11557e-05	1.65126e-05	-3.35455e-06	2.17752e-06	-1.09405e-05	-1.18354e-05	-15.5177	13.9238	-0.000281694	2.55311	-2.58603	-2.26105	
