seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
29	1580406960.718684153	0.00247662	-0.92881	2.13525	-2.77703	-1.56958	-2.62323	0	0	-0	0	0	0	0	-60.8411	-16.1754	-2.82093	0.406908	0.000125102	0	0	0	0	0	0	
30	1580406960.726668176	0.00245265	-0.928834	2.13521	-2.77703	-1.56957	-2.62323	0	0	-0	0	0	0	0	-60.8419	-16.1775	-2.821	0.40692	0.000140642	0	0	0	0	0	0	
31	1580406960.734697687	0.0024886	-0.928846	2.13523	-2.77704	-1.56957	-2.62324	0	0	-0	0	0	0	0	-60.8412	-16.1775	-2.82101	0.406918	0.000143409	0	0	0	0	0	0	
32	1580406960.742741002	0.00247662	-0.92881	2.1352	-2.77702	-1.56957	-2.62321	0	0	-0	0	0	0	0	-60.8428	-16.1771	-2.82097	0.406921	0.000134999	0	0	0	0	0	0	
33	1580406960.750698302	0.0024886	-0.928822	2.13525	-2.77703	-1.5696	-2.62325	0	0	-0	0	0	0	0	-60.8409	-16.1758	-2.82094	0.406894	0.000126154	0	0	0	0	0	0	
34	1580406960.758750015	0.00247662	-0.928846	2.13525	-2.77702	-1.56958	-2.6232	0	0	-0	0	0	0	0	-60.8403	-16.1767	-2.82096	0.406912	0.000130512	0	0	0	0	0	0	
35	1580406960.766711083	0.0024886	-0.928834	2.13525	-2.77703	-1.5696	-2.62321	0	0	-0	0	0	0	0	-60.8406	-16.1762	-2.82096	0.406899	0.000128907	0	0	0	0	0	0	
36	1580406960.774687878	0.00247662	-0.928858	2.13529	-2.77703	-1.56958	-2.62319	0	0	-0	0	0	0	0	-60.8388	-16.1758	-2.82095	0.406914	0.000127744	0	0	0	0	0	0	
37	1580406960.782748073	0.0024886	-0.928786	2.13523	-2.77704	-1.56956	-2.62318	0	0	-0	0	0	0	0	-60.8426	-16.1754	-2.82095	0.406938	0.000131289	0	0	0	0	0	0	
38	1580406960.790737380	0.00250058	-0.928834	2.13523	-2.77703	-1.5696	-2.62321	0	0	-0	0	0	0	0	-60.8415	-16.1771	-2.82099	0.406899	0.000134435	0	0	0	0	0	0	
39	1580406960.798709166	0.00252455	-0.928846	2.13523	-2.77703	-1.56958	-2.6232	0	0	-0	0	0	0	0	-60.8412	-16.1775	-2.821	0.406912	0.000138915	0	0	0	0	0	0	
40	1580406960.806753214	0.0024886	-0.928834	2.13525	-2.77703	-1.56957	-2.62321	0	0	-0	0	0	0	0	-60.8406	-16.1762	-2.82096	0.406921	0.000132345	0	0	0	0	0	0	
41	1580406960.814757007	0.0024886	-0.928858	2.13523	-2.77703	-1.56961	-2.62324	0	0	-0	0	0	0	0	-60.8409	-16.178	-2.82101	0.406885	0.000138252	0	0	0	0	0	0	
