seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
23	1573229628.430737674	-1.24629	-2.11682	-1.72894	-1.57718	0.594504	0.726131	0.0163625	0.0174107	0.017449	0.0188296	0.0171231	0.0153206	-0.653946	68.2623	30.6634	2.37915	-0.399779	0.337001	-0.116647	0.0239685	0.239685	0.321177	0.146207	0.0239685	
24	1573229628.430737674	-1.24629	-2.11682	-1.72894	-1.57718	0.594504	0.726131	0.0163625	0.0174107	0.017449	0.0188296	0.0171231	0.0153206	-0.000602023	68.4737	30.7112	2.19937	-0.618706	0.225885	0	0	0	0	0	0	
25	1573229628.442541070	-1.24612	-2.11669	-1.72882	-1.57709	0.594684	0.726227	0.0169505	0.0169888	0.0179348	0.0179284	0.016682	0.0158	0.232632	68.5086	30.6545	2.14898	-0.668473	0.214979	0.0735032	-0.0527306	0.0607199	-0.112652	-0.0551273	0.0599212	
26	1573229628.446740102	-1.24598	-2.11654	-1.72867	-1.57695	0.594816	0.726371	0.0171295	0.0178964	0.0179859	0.0150714	0.0160301	0.017775	0.197618	68.0161	30.5165	2.22056	-0.72334	0.212209	0.0223706	0.113451	0.00639167	-0.35713	-0.0814928	0.246875	
27	1573229628.454742844	-1.24584	-2.11641	-1.72852	-1.57677	0.594948	0.726515	0.0179731	0.0175641	0.0153654	0.0177942	0.0169505	0.0161451	0.279573	68.9991	31.052	2.06854	-0.57522	0.19938	0.105461	-0.0415454	-0.327569	0.340352	0.115049	-0.203732	
28	1573229628.470704864	-1.24558	-2.11612	-1.72823	-1.57655	0.595164	0.726743	0.0172317	0.0179092	0.0165286	0.0172381	0.0159726	0.0169313	-0.299225	68.1715	30.6073	2.27494	-0.628594	0.256258	-0.092678	0.0431433	0.145409	-0.0695083	-0.122239	0.0982708	
29	1573229628.478697288	-1.2454	-2.11599	-1.72814	-1.57641	0.595283	0.726922	0.017807	0.0172701	0.0173595	0.015474	0.0151672	0.0174107	0.285403	68.5155	30.6574	2.14218	-0.714006	0.196478	0.0719053	-0.0798949	0.103863	-0.22051	-0.100667	0.0599211	
30	1573229628.486677774	-1.24528	-2.11588	-1.72799	-1.57626	0.595451	0.727054	0.016273	0.0181777	0.0159917	0.0168738	0.0175257	0.0173723	-0.495941	68.5285	31.0179	2.40762	-0.492144	0.242206	-0.191747	0.113451	-0.170975	0.17497	0.294812	-0.00479375	
31	1573229628.494669422	-1.24519	-2.11572	-1.72785	-1.57613	0.595595	0.727221	0.0178709	0.0175641	0.0178581	0.017449	0.0178325	0.0176791	0.291198	68.3212	30.5534	2.1319	-0.538296	0.281338	0.199737	-0.0766991	0.233293	0.0719053	0.0383495	0.0383495	
32	1573229628.502682455	-1.24501	-2.11558	-1.7277	-1.57598	0.595751	0.727329	0.0171167	0.0182799	0.0175641	0.0160493	0.0169697	0.0158959	-0.151528	68.1562	30.6576	2.19352	-0.697981	0.17294	-0.0942759	0.0894822	-0.0367516	-0.17497	-0.107858	-0.222906	
33	1573229628.510730166	-1.24485	-2.11538	-1.72755	-1.57587	0.595847	0.727461	0.0172062	0.0183566	0.0172829	0.0172189	0.0157425	0.0160684	-0.0529253	68.4439	30.7879	2.15135	-0.626884	0.249982	0.0111852	0.0095875	-0.0351537	0.146207	-0.153398	0.0215715	
