seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	DDq0	DDq1	DDq2	DDq3	DDq4	DDq5	
25	1573229628.734693067	-1.24017	-2.11062	-1.72284	-1.57114	0.60054	0.732184	0.027341	0.0280106	0.0280859	0.0272235	0.0272911	0.0281822	0.000222084	68.1757	30.9305	2.24981	-0.566318	0.261224	0.0458927	0.0465051	0.0585436	0.043018	0.0458363	0.0647045	
26	1573229628.742694213	-1.24004	-2.11049	-1.72271	-1.57101	0.60068	0.732316	0.0271705	0.0278232	0.0279297	0.0270467	0.0272072	0.0280716	0.0182398	68.1746	30.9384	2.24487	-0.569615	0.256852	0.0496893	0.0486651	0.0478044	0.0368835	0.049753	0.0502284	
27	1573229628.750671542	-1.23992	-2.11036	-1.72258	-1.57088	0.600818	0.73245	0.0270066	0.0276713	0.0277739	0.0268532	0.0271029	0.0279489	0.0186149	68.1742	30.9456	2.24539	-0.570691	0.258033	0.0502229	0.048132	0.0486003	0.0382243	0.0449857	0.0584812	
28	1573229628.758694378	-1.23979	-2.11023	-1.72245	-1.57074	0.600956	0.732588	0.0268898	0.0274861	0.0274676	0.0266557	0.0270165	0.0279581	0.048161	68.24	30.988	2.24286	-0.579804	0.251892	0.0512346	0.0384621	0.0241964	0.0352231	0.0496854	0.0687759	
29	1573229628.766693625	-1.23966	-2.1101	-1.72232	-1.57061	0.601098	0.732725	0.0267926	0.0272847	0.0273254	0.0264697	0.0269165	0.027907	0.0112606	68.1648	30.9474	2.24355	-0.569572	0.259806	0.0519738	0.0425388	0.0653583	0.0422956	0.0355999	0.0502608	
30	1573229628.774685498	-1.23953	-2.10997	-1.7222	-1.57048	0.601236	0.732862	0.0266826	0.027113	0.027171	0.0263389	0.0267336	0.0278558	0.0188075	68.1948	30.9804	2.24378	-0.57711	0.256221	0.0472967	0.0450818	0.0376042	0.0434921	0.0331393	0.0617511	
31	1573229628.782644299	-1.2394	-2.10984	-1.72207	-1.57035	0.601371	0.733001	0.026591	0.0269262	0.0270619	0.0261686	0.0265425	0.0277775	0.0183104	68.1673	30.9628	2.24275	-0.573529	0.256665	0.0518692	0.0416556	0.0617647	0.0354742	0.0351984	0.0433583	
32	1573229628.790706556	-1.23927	-2.10971	-1.72193	-1.57022	0.601505	0.73314	0.0264679	0.0267288	0.0270218	0.026036	0.0263548	0.0276252	-0.00308029	68.1988	30.9904	2.2466	-0.574381	0.255767	0.0417413	0.0376193	0.0535631	0.047566	0.0322974	0.0414324	
33	1573229628.798699013	-1.23914	-2.10959	-1.7218	-1.57009	0.601641	0.73328	0.0263205	0.026513	0.0269554	0.0259232	0.0261734	0.0274811	0.00225993	68.2013	30.9978	2.24754	-0.57619	0.254415	0.0421119	0.0362095	0.0541421	0.0415424	0.0340731	0.0416527	
34	1573229628.806691423	-1.23901	-2.10946	-1.72167	-1.56996	0.601774	0.733418	0.0261848	0.0263392	0.0269525	0.02584	0.0260297	0.0273578	-0.0106107	68.1844	31.0003	2.25377	-0.569545	0.257539	0.0408114	0.040113	0.0592409	0.0474521	0.0420187	0.0440953	
35	1573229628.814701850	-1.23888	-2.10933	-1.72153	-1.56983	0.601908	0.733554	0.0260621	0.0261996	0.0268672	0.0257735	0.0259479	0.0271592	0.00501438	68.1915	31.0136	2.24737	-0.57495	0.25241	0.0426352	0.041872	0.0434769	0.0440965	0.0411301	0.0286831	
