seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
53628	1580406960.478737342	0.00245265	-0.928822	2.13527	-2.777	-1.56958	-2.62323	0	0	-0	0	0	0	17.0174	-56.6326	-14.1973	0.190569	1.48445	-1.18347	
53629	1580406960.486716131	0.00246463	-0.928834	2.13527	-2.77702	-1.56956	-2.62324	0	0	-0	0	0	0	16.9493	-56.3291	-14.1474	0.309674	1.28652	-1.13202	
53630	1580406960.494696716	0.00246463	-0.92881	2.13524	-2.77702	-1.56956	-2.62325	0	0	-0	0	0	0	16.9493	-57.1182	-14.2223	0.166748	1.55867	-1.10629	
53631	1580406960.502678006	0.00247662	-0.928834	2.13525	-2.77702	-1.56958	-2.62321	0	0	-0	0	0	0	17.1535	-56.5112	-14.1474	0.21439	1.53393	-1.02911	
53632	1580406960.510700974	0.00247662	-0.928834	2.13523	-2.77702	-1.56957	-2.6232	0	0	-0	0	0	0	17.2216	-56.5719	-14.2472	0.238211	1.43496	-1.00338	
53633	1580406960.518729349	0.00250058	-0.92887	2.13525	-2.77702	-1.56957	-2.62319	0	0	-0	0	0	0	16.5409	-56.3898	-14.1973	0.262032	1.41022	-1.10629	
53634	1580406960.526721669	0.00245265	-0.928822	2.13525	-2.777	-1.5696	-2.62321	0	0	-0	0	0	0	16.7451	-56.8754	-14.2223	0.190569	1.4597	-1.00338	
53635	1580406960.534740292	0.00247662	-0.928846	2.13526	-2.77703	-1.56954	-2.6232	0	0	-0	0	0	0	17.1535	-56.6933	-14.0476	0.238211	1.4597	-0.951925	
53636	1580406960.542754248	0.00247662	-0.928834	2.13527	-2.777	-1.56956	-2.62319	0	0	-0	0	0	0	16.7451	-56.754	-13.9977	0.285853	1.48445	-1.02911	
53637	1580406960.550820222	0.00247662	-0.92887	2.13525	-2.77704	-1.56958	-2.62321	0	0	-0	0	0	0	17.1535	-56.3291	-14.0975	0.262032	1.43496	-1.23493	
53638	1580406960.558724703	0.0024886	-0.928786	2.13526	-2.77704	-1.56957	-2.62321	0	0	-0	0	0	0	17.0854	-56.8147	-14.1973	0.21439	1.28652	-1.13202	
53639	1580406960.566719568	0.00247662	-0.92881	2.13529	-2.77702	-1.5696	-2.62325	0	0	-0	0	0	0	16.6089	-56.8147	-13.9977	0.262032	1.4597	-1.05484	
53640	1580406960.574729963	0.00246463	-0.928858	2.13521	-2.77703	-1.56962	-2.62321	0	0	-0	0	0	0	17.2216	-56.3291	-14.1724	0.21439	1.48445	-0.951925	
53641	1580406960.582729033	0.00250058	-0.92881	2.13523	-2.77703	-1.56961	-2.62323	0	0	-0	0	0	0	16.8812	-56.9361	-14.2223	0.285853	1.50919	-1.2092	
