seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
5624	1573229628.230666392	-1.24954	-2.12005	-1.73215	-1.58041	0.591279	0.722909	0.014854	0.0147006	0.0170655	0.0169313	0.0167587	0.0167204	15.9963	83.9474	37.4769	4.21634	1.50919	2.4184	
5625	1573229628.238692223	-1.24944	-2.11994	-1.73202	-1.58029	0.591375	0.723053	0.0149563	0.0153654	0.0149691	0.0160876	0.0167396	0.0154549	17.0174	83.9474	37.1775	4.21634	1.85556	2.5985	
5626	1573229628.246668620	-1.2493	-2.11982	-1.73192	-1.58014	0.591519	0.723161	0.0161068	0.0162091	0.0139976	0.0170655	0.0146495	0.0155124	16.4728	84.9793	37.6017	4.02577	1.85556	2.23831	
5627	1573229628.254677492	-1.24917	-2.11965	-1.7318	-1.58005	0.591626	0.723293	0.0152887	0.0152887	0.0169505	0.0157233	0.0165478	0.0170272	17.4258	85.6469	37.1027	4.31162	2.05348	2.18685	
5628	1573229628.262726985	-1.24905	-2.11954	-1.73163	-1.57991	0.591782	0.723401	0.0164264	0.0160557	0.0133584	0.0171806	0.0155699	0.0141126	17.9703	85.6469	37.5767	4.24016	2.32563	2.28976	
5629	1573229628.270692590	-1.2489	-2.11942	-1.7315	-1.57977	0.591854	0.723508	0.0162346	0.0162346	0.0176536	0.0150522	0.0140359	0.0168163	18.3788	87.4679	37.5518	4.38308	2.44933	1.80094	
5630	1573229628.278665662	-1.24878	-2.11926	-1.73142	-1.57965	0.591986	0.723664	0.0163752	0.0161196	0.0147006	0.0169697	0.0177558	0.0149371	19.604	87.4679	37.452	4.19251	2.15245	2.03249	
5631	1573229628.286684992	-1.24867	-2.11918	-1.73132	-1.57953	0.592178	0.723796	0.015685	0.0154549	0.0153782	0.0172189	0.0170272	0.0157233	20.7612	88.9854	37.6266	4.47837	2.49882	1.69803	
5632	1573229628.294710610	-1.24855	-2.11904	-1.7312	-1.57939	0.592286	0.723964	0.0158	0.0165159	0.0169633	0.0153015	0.0177942	0.0170847	20.1486	89.1068	37.0029	4.4069	2.57304	2.10967	
5633	1573229628.302699329	-1.24838	-2.11894	-1.73101	-1.57927	0.592406	0.724048	0.0162858	0.0166565	0.0166437	0.0167587	0.0161068	0.0135757	19.3998	88.1963	37.2773	4.24016	2.672	2.05822	
5634	1573229628.310693660	-1.24829	-2.11879	-1.73093	-1.57915	0.592538	0.724215	0.015327	0.0165798	0.0158767	0.0165478	0.0173915	0.0161643	20.8293	88.1356	37.3771	4.81186	2.86993	1.80094	
5635	1573229628.318863852	-1.24811	-2.11865	-1.73076	-1.57904	0.592669	0.724287	0.0165286	0.0167332	0.017807	0.0146495	0.0164136	0.0153782	20.6931	86.8002	36.429	4.6213	2.74622	2.21258	
5636	1573229628.326677857	-1.248	-2.1185	-1.73062	-1.57888	0.592802	0.724455	0.0162602	0.017628	0.0157105	0.0176408	0.0170464	0.0149947	21.3057	85.04	36.3042	4.69276	2.77096	2.00676	
5637	1573229628.334653136	-1.24788	-2.11837	-1.73051	-1.57876	0.592897	0.724586	0.0172956	0.0171039	0.0180754	0.0166053	0.0168354	0.0156274	20.1486	84.3116	36.928	4.76422	3.01837	2.23831	
5638	1573229628.342701440	-1.24775	-2.11825	-1.73033	-1.57865	0.593065	0.724682	0.0156338	0.0166309	0.0135374	0.0176024	0.0179476	0.0160301	19.8763	83.9474	36.3042	4.59747	2.72148	2.28976	
5639	1573229628.350660260	-1.24757	-2.11812	-1.73026	-1.57852	0.593209	0.724826	0.0171422	0.0172701	0.0173723	0.0161835	0.0161835	0.0149371	19.9444	82.6727	36.1545	4.54983	2.59778	2.52131	
5640	1573229628.358670680	-1.24746	-2.11799	-1.7301	-1.57833	0.593353	0.724994	0.0171934	0.0172189	0.0157617	0.0178134	0.0183311	0.0155124	18.7191	81.8836	36.2793	4.54983	2.69674	2.64995	
5641	1573229628.366696250	-1.24733	-2.11783	-1.72999	-1.57823	0.593485	0.725065	0.0170528	0.0175002	0.0139976	0.0151097	0.0169121	0.0171806	19.1275	82.005	36.6286	4.93097	3.2163	2.57277	
5642	1573229628.374687342	-1.24719	-2.11771	-1.72987	-1.57811	0.593569	0.725221	0.0161963	0.0162091	0.0175129	0.0177175	0.0171039	0.014918	18.7191	81.9443	36.9779	4.33544	2.5483	2.85577	
5643	1573229628.382658205	-1.24703	-2.11759	-1.72975	-1.57799	0.593701	0.725293	0.0174235	0.0168099	0.0155955	0.0165286	0.0165862	0.0161643	17.4939	82.6727	36.7034	4.76422	2.79571	2.39268	
5644	1573229628.390673993	-1.24692	-2.11745	-1.72959	-1.57781	0.593857	0.725461	0.0172317	0.0170528	0.015327	0.0170464	0.0156658	0.0172765	17.2216	82.5513	37.0029	4.57365	2.672	2.90723	
