seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
38	1580406960.814757007	0.00248949	-0.928832	2.13524	-2.77703	-1.56959	-2.62321	4.63487e-05	-4.10169e-05	-7.35806e-05	-4.27102e-05	-4.19556e-06	-2.80288e-05	16.9408	-56.5871	-14.1699	0.251908	1.43435	-1.09278	
39	1580406960.822703702	0.00248972	-0.928828	2.13524	-2.77703	-1.56958	-2.62321	4.56622e-05	-1.72276e-05	-7.55889e-05	-2.40468e-05	1.55224e-05	-2.75559e-05	16.931	-56.5852	-14.1712	0.253898	1.43195	-1.08998	
40	1580406960.830737855	0.00248863	-0.928829	2.13524	-2.77703	-1.56959	-2.62321	3.6251e-05	-2.18066e-05	-7.70267e-05	-1.59732e-05	-9.72434e-06	-9.93394e-06	16.938	-56.5892	-14.1688	0.263167	1.43261	-1.09098	
41	1580406960.838774301	0.00249017	-0.928831	2.13524	-2.77703	-1.56958	-2.62321	4.45329e-05	-3.41611e-05	-4.42185e-05	-3.41199e-05	1.4669e-06	-1.09842e-05	16.9493	-56.5903	-14.1677	0.262032	1.43094	-1.09014	
42	1580406960.846778003	0.00248905	-0.928833	2.13524	-2.77703	-1.56958	-2.62322	3.51713e-05	-4.50099e-05	-5.62525e-05	-4.18242e-05	1.14317e-05	-2.83884e-05	16.9354	-56.5885	-14.1684	0.258784	1.43271	-1.087	
43	1580406960.854685056	0.00248675	-0.928833	2.13524	-2.77703	-1.56958	-2.62321	1.85784e-05	-4.64525e-05	-4.25649e-05	-2.39882e-05	4.18971e-06	-3.29992e-06	16.9266	-56.58	-14.1674	0.257268	1.43167	-1.08571	
44	1580406960.862700048	0.00248707	-0.928834	2.13524	-2.77703	-1.56958	-2.62321	1.95943e-05	-4.75798e-05	-2.19654e-05	-2.41004e-05	2.97266e-05	1.11841e-05	16.9286	-56.5838	-14.168	0.257372	1.43066	-1.08672	
45	1580406960.870753984	0.00248859	-0.928829	2.13525	-2.77703	-1.56958	-2.62321	2.82152e-05	-1.72918e-05	4.30083e-06	-1.59716e-05	2.87867e-05	1.63158e-05	16.9218	-56.5861	-14.1676	0.256964	1.43128	-1.08658	
46	1580406960.878729783	0.00248758	-0.928831	2.13525	-2.77703	-1.56958	-2.62321	2.03794e-05	-2.84635e-05	4.49124e-06	-8.59925e-06	3.55286e-05	1.32045e-05	16.9252	-56.601	-14.1672	0.256077	1.43032	-1.08432	
47	1580406960.886754232	0.00248302	-0.928831	2.13525	-2.77703	-1.56958	-2.62321	-9.52291e-06	-3.08457e-05	-1.04553e-05	-9.77355e-06	2.63673e-05	-4.86249e-06	16.9396	-56.6066	-14.1657	0.255226	1.42941	-1.08581	
