seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
29	1580406960.718684153	0.00247662	-0.92881	2.13525	-2.77703	-1.56958	-2.62323	0	0	-0	0	0	0	-17.4939	-4.02642	-2.02796	-3.32117	-0.953833	1.10642	
30	1580406960.726668176	0.00245265	-0.928834	2.13521	-2.77703	-1.56957	-2.62323	0	0	-0	0	0	0	-16.7451	-4.45208	-1.98021	-3.13067	-1.02804	1.0807	
31	1580406960.734697687	0.0024886	-0.928846	2.13523	-2.77704	-1.56957	-2.62324	0	0	-0	0	0	0	-17.2896	-4.39069	-2.08003	-3.13068	-1.10227	1.00352	
32	1580406960.742741002	0.00247662	-0.92881	2.1352	-2.77702	-1.56957	-2.62321	0	0	-0	0	0	0	-16.9493	-3.66394	-1.95482	-3.01154	-0.879598	1.02924	
33	1580406960.750698302	0.0024886	-0.928822	2.13525	-2.77703	-1.5696	-2.62325	0	0	-0	0	0	0	-16.4728	-4.87594	-1.87868	-3.08297	-1.00333	1.10642	
34	1580406960.758750015	0.00247662	-0.928846	2.13525	-2.77702	-1.56958	-2.6232	0	0	-0	0	0	0	-16.2686	-4.02561	-1.97934	-3.08299	-0.904348	1.08069	
35	1580406960.766711083	0.0024886	-0.928834	2.13525	-2.77703	-1.5696	-2.62321	0	0	-0	0	0	0	-16.677	-4.57219	-2.07873	-3.05917	-1.00332	1.1836	
36	1580406960.774687878	0.00247662	-0.928858	2.13529	-2.77703	-1.56958	-2.62319	0	0	-0	0	0	0	-17.5619	-4.57034	-2.00343	-3.05916	-1.05279	1.3637	
37	1580406960.782748073	0.0024886	-0.928786	2.13523	-2.77704	-1.56956	-2.62318	0	0	-0	0	0	0	-17.0174	-4.14925	-1.92818	-3.10681	-1.05277	0.977784	
38	1580406960.790737380	0.00250058	-0.928834	2.13523	-2.77703	-1.5696	-2.62321	0	0	-0	0	0	0	-16.9493	-3.78395	-1.97978	-3.01156	-1.10229	1.31225	
39	1580406960.798709166	0.00252455	-0.928846	2.13523	-2.77703	-1.56958	-2.6232	0	0	-0	0	0	0	-16.7451	-4.26928	-2.12993	-3.01157	-0.929089	1.18361	
40	1580406960.806753214	0.0024886	-0.928834	2.13525	-2.77703	-1.56957	-2.62321	0	0	-0	0	0	0	-17.1535	-4.57219	-2.00387	-3.08299	-1.12701	1.02924	
41	1580406960.814757007	0.0024886	-0.928858	2.13523	-2.77703	-1.56961	-2.62324	0	0	-0	0	0	0	-16.3367	-3.47991	-2.00559	-3.05922	-1.07756	1.20934	
42	1580406960.822703702	0.0024886	-0.928798	2.13524	-2.777	-1.56956	-2.62321	0	0	-0	0	0	0	-16.5409	-4.33059	-1.95308	-3.1544	-0.929068	0.977775	
43	1580406960.830737855	0.00247662	-0.928834	2.13524	-2.77702	-1.56962	-2.62319	0	0	-0	0	0	0	-17.2216	-4.08701	-2.1041	-3.46413	-1.05282	1.13214	
44	1580406960.838774301	0.00250058	-0.928846	2.13529	-2.77705	-1.56957	-2.62321	0	0	-0	0	0	0	-17.4258	-4.20644	-2.05292	-3.03535	-0.95382	1.05497	
45	1580406960.846778003	0.00247662	-0.928846	2.13523	-2.77704	-1.56957	-2.62324	0	0	-0	0	0	0	-16.3367	-4.32999	-1.98022	-2.94012	-1.10227	0.952068	
46	1580406960.854685056	0.00246463	-0.928834	2.13526	-2.777	-1.5696	-2.62318	0	0	-0	0	0	0	-16.5409	-4.63243	-2.05332	-3.01149	-0.978578	1.02923	
47	1580406960.862700048	0.0024886	-0.928834	2.13527	-2.77703	-1.56955	-2.62319	0	0	-0	0	0	0	-17.0174	-4.08572	-1.97805	-3.08297	-0.978535	1.13215	
48	1580406960.870753984	0.00250058	-0.928786	2.13529	-2.77702	-1.56958	-2.6232	0	0	-0	0	0	0	-16.6089	-4.14704	-2.02578	-3.05906	-1.05279	1.08067	
49	1580406960.878729783	0.00247662	-0.928846	2.13525	-2.77702	-1.56957	-2.62321	0	0	-0	0	0	0	-17.0854	-3.54001	-2.02924	-3.03535	-0.978561	0.977785	
50	1580406960.886754232	0.00244066	-0.928834	2.13523	-2.77703	-1.5696	-2.62324	0	0	-0	0	0	0	-17.63	-3.96605	-2.07958	-3.03537	-0.978587	1.15788	
51	1580406960.894684120	0.00245265	-0.928858	2.13529	-2.77702	-1.5696	-2.62318	0	0	-0	0	0	0	-17.2896	-4.14543	-2.12817	-3.01151	-0.978578	1.05496	
52	1580406960.902735307	0.00246463	-0.928858	2.13527	-2.777	-1.56956	-2.62321	0	0	-0	0	0	0	-17.1535	-4.32794	-2.02878	-3.05914	-0.953809	1.10642	
53	1580406960.910753088	0.00251257	-0.928834	2.13524	-2.77703	-1.56957	-2.62319	0	0	-0	0	0	0	-16.8812	-4.39052	-1.95441	-3.03537	-1.07752	1.18361	
54	1580406960.918664366	0.00244066	-0.928846	2.13526	-2.77699	-1.5696	-2.62321	0	0	-0	0	0	0	-16.9493	-4.26794	-2.10363	-3.0353	-1.00332	1.13214	
55	1580406960.926718513	0.00247662	-0.928822	2.13529	-2.77702	-1.56957	-2.62318	0	0	-0	0	0	0	-17.4258	-4.14624	-2.00212	-3.03528	-0.904334	1.13214	
56	1580406960.934761823	0.0024886	-0.928834	2.13526	-2.77702	-1.56955	-2.62321	0	0	-0	0	0	0	-17.2216	-4.57174	-1.97848	-3.08296	-1.02802	1.10642	
57	1580406960.942687818	0.00250058	-0.928834	2.13529	-2.77704	-1.56958	-2.62321	0	0	-0	0	0	0	-16.6089	-4.44949	-1.97763	-2.89239	-0.929091	1.02923	
58	1580406960.950681434	0.00250058	-0.928822	2.13523	-2.77702	-1.56958	-2.62318	0	0	-0	0	0	0	-16.9493	-4.14841	-1.87954	-3.03536	-0.929086	1.08069	
59	1580406960.958712371	0.00247662	-0.928846	2.13523	-2.77702	-1.56963	-2.62324	0	0	-0	0	0	0	-16.4047	-4.39066	-1.93029	-3.08301	-1.10232	0.900598	
60	1580406960.966727179	0.00247662	-0.928858	2.13526	-2.77702	-1.5696	-2.6232	0	0	-0	0	0	0	-17.3577	-4.44981	-2.1041	-3.01153	-1.02806	1.1836	
61	1580406960.974728896	0.00247662	-0.928846	2.13526	-2.77702	-1.56955	-2.62321	0	0	-0	0	0	0	-17.4258	-4.51077	-1.95395	-3.03533	-1.10224	1.05497	
62	1580406960.982758525	0.00246463	-0.928822	2.13524	-2.77702	-1.5696	-2.6232	0	0	-0	0	0	0	-17.0174	-4.14798	-1.8791	-3.13062	-1.00332	1.05496	
63	1580406960.990744641	0.0024886	-0.928834	2.13527	-2.77703	-1.56961	-2.62323	0	0	-0	0	0	0	-16.9493	-4.4499	-1.90319	-3.03532	-0.953855	1.0035	
64	1580406960.998748599	0.00247662	-0.928858	2.13521	-2.77702	-1.56956	-2.6232	0	0	-0	0	0	0	-17.1535	-4.39083	-2.10582	-3.10687	-1.05277	1.05498	
65	1580406961.006766946	0.00247662	-0.92881	2.13524	-2.77702	-1.5696	-2.62324	0	0	-0	0	0	0	-17.7661	-4.33034	-1.97847	-2.94003	-1.02807	1.10641	
66	1580406961.014743211	0.00247662	-0.928858	2.13525	-2.77703	-1.56958	-2.6232	0	0	-0	0	0	0	-17.1535	-3.96466	-1.75522	-2.98774	-1.05279	1.33798	
67	1580406961.022702951	0.00250058	-0.92887	2.13523	-2.77703	-1.56957	-2.62323	0	0	-0	0	0	0	-17.3577	-4.51154	-1.90622	-3.0116	-0.978563	1.00353	
68	1580406961.030733128	0.00247662	-0.928834	2.13523	-2.77703	-1.56958	-2.6232	0	0	-0	0	0	0	-17.4258	-4.14815	-1.78017	-3.03538	-1.12701	0.952061	
69	1580406961.038730524	0.00247662	-0.928834	2.13525	-2.77703	-1.56957	-2.62325	0	0	-0	0	0	0	-16.7451	-4.26868	-2.15357	-2.94006	-0.929085	1.10642	
70	1580406961.046748466	0.00250058	-0.928834	2.13527	-2.77704	-1.5696	-2.62318	0	0	-0	0	0	0	-16.6089	-3.66084	-1.87826	-2.9877	-1.0528	1.13214	
71	1580406961.054733744	0.00247662	-0.928822	2.13523	-2.77699	-1.56957	-2.62321	0	0	-0	0	0	0	-16.8132	-4.39117	-1.95436	-3.05914	-1.02804	1.13215	
72	1580406961.062697647	0.00250058	-0.928822	2.13529	-2.77702	-1.56958	-2.62319	0	0	-0	0	0	0	-16.4728	-4.44974	-2.12688	-3.01146	-1.07753	0.952041	
73	1580406961.070752507	0.00246463	-0.928858	2.13524	-2.77703	-1.56957	-2.62324	0	0	-0	0	0	0	-16.9493	-4.32928	-1.95526	-2.96392	-1.00331	1.0807	
74	1580406961.078734866	0.00247662	-0.928834	2.13527	-2.77702	-1.56958	-2.62323	0	0	-0	0	0	0	-16.4047	-4.08569	-1.92812	-3.08294	-1.07754	1.13214	
75	1580406961.086708382	0.00247662	-0.928846	2.13525	-2.77702	-1.56956	-2.6232	0	0	-0	0	0	0	-17.0854	-4.08631	-1.85458	-3.03535	-0.953808	0.977786	
76	1580406961.094780623	0.00246463	-0.928798	2.13525	-2.77699	-1.56958	-2.62321	0	0	-0	0	0	0	-16.7451	-3.90525	-2.02749	-3.0829	-1.02805	1.15786	
77	1580406961.102717642	0.00250058	-0.928858	2.13525	-2.77704	-1.56958	-2.62321	0	0	-0	0	0	0	-16.6089	-4.32886	-1.85504	-2.96393	-1.05279	1.02925	
78	1580406961.110745653	0.00246463	-0.92881	2.13527	-2.77704	-1.5696	-2.62323	0	0	-0	0	0	0	-16.9493	-4.14696	-2.10195	-2.86855	-1.02807	1.05496	
79	1580406961.118715327	0.00247662	-0.928858	2.13524	-2.77702	-1.56958	-2.62319	0	0	-0	0	0	0	-16.4728	-3.41878	-1.98021	-3.0592	-1.00331	1.0807	
80	1580406961.126722114	0.00247662	-0.928822	2.13526	-2.77702	-1.5696	-2.62319	0	0	-0	0	0	0	-16.5409	-4.32922	-1.85329	-2.86856	-1.07754	1.05496	
