seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
36	1573229628.534689197	-1.24448	-2.11502	-1.72713	-1.57546	0.596243	0.727892	0.0169633	0.0173595	0.0158256	0.0163369	0.0170272	0.0160109	2.10371	4.91038	-5.58701	-0.317792	0.0797144	-0.921961	
37	1573229628.542663337	-1.24432	-2.11486	-1.72701	-1.57531	0.596386	0.728012	0.0167204	0.0185995	0.0160045	0.0177558	0.016241	0.0160684	1.54349	2.70097	-6.10219	0.196864	-0.126998	-0.978634	
38	1573229628.550721908	-1.24419	-2.11474	-1.72688	-1.5752	0.596471	0.728144	0.0173084	0.0170655	0.0164008	0.0155316	0.0165862	0.0160109	4.02166	5.161	-5.14612	0.0430661	-0.243958	-0.30546	
39	1573229628.558680295	-1.24407	-2.11461	-1.72676	-1.57504	0.596651	0.728251	0.0171806	0.0179987	0.0164264	0.0172765	0.017334	0.0170655	3.7235	4.01732	-5.93825	0.502342	-0.338762	0.296824	
40	1573229628.566716444	-1.24393	-2.11447	-1.72664	-1.5749	0.596783	0.728419	0.0173595	0.0177175	0.0167587	0.0170272	0.0172956	0.0155507	4.24523	4.03787	-5.70825	0.128585	-0.705814	-0.123911	
41	1573229628.574659830	-1.24374	-2.11435	-1.72649	-1.57478	0.59689	0.728575	0.0160173	0.0175641	0.01456	0.0164136	0.0177558	0.0152631	1.38524	3.34916	-5.53078	0.143776	-0.538572	0.230335	
42	1573229628.582719991	-1.24365	-2.11418	-1.72641	-1.57463	0.597094	0.728671	0.0167076	0.0166181	0.0183311	0.0167971	0.0158767	0.0181777	1.57112	1.77468	-5.19266	0.189856	-0.903943	0.209803	
43	1573229628.590661648	-1.24353	-2.11406	-1.72625	-1.57453	0.59725	0.728814	0.0168866	0.0171806	0.0155571	0.0151481	0.0167971	0.0163369	1.48545	0.984913	-5.34394	-0.47679	-0.755738	0.379194	
44	1573229628.598708952	-1.24341	-2.11394	-1.7261	-1.57435	0.597334	0.728898	0.0154676	0.0173595	0.0177558	0.0157808	0.0176216	0.0163561	0.144488	0.542801	-5.38944	0.118297	-0.312389	0.665231	
45	1573229628.606701945	-1.24326	-2.11377	-1.726	-1.57426	0.597442	0.729042	0.0170783	0.0172956	0.0179987	0.0166437	0.0170847	0.0159917	-0.223402	0.684423	-5.08659	-0.448672	-0.64713	0.16233	
46	1573229628.614668894	-1.24315	-2.11364	-1.72582	-1.57409	0.597622	0.729174	0.0171039	0.0176152	0.0151353	0.0171422	0.0178517	0.0165095	-1.87928	0.917989	-4.8168	-0.194649	-1.20156	0.0949759	
