seq	time	q0	q1	q2	q3	q4	q5	Dq0	Dq1	Dq2	Dq3	Dq4	Dq5	eff0	eff1	eff2	eff3	eff4	eff5	
38	1580482312.664701318	0.00239863	-0.895076	2.13238	-2.79043	-1.56954	-2.6233	2.68092e-05	3.02768e-06	8.64493e-05	-2.34623e-05	-2.41144e-06	-3.96122e-05	11.49	36.2117	8.56068	5.904	-3.09076	-2.04339	
39	1580482312.672632952	0.00239836	-0.895077	2.13238	-2.79042	-1.56954	-2.6233	2.42938e-05	-3.48073e-06	7.76885e-05	-1.78424e-05	1.09806e-05	-3.3964e-05	11.4788	8.36514	8.55905	5.90536	2.08155	-2.04292	
40	1580482312.680634881	0.0023981	-0.895075	2.13238	-2.79043	-1.56954	-2.6233	2.18935e-05	7.30734e-06	6.37961e-05	-2.40391e-05	6.94933e-07	-3.42619e-05	11.4688	36.2155	8.55765	5.90577	1.29225	-2.04377	
41	1580482312.688609534	0.00240084	-0.895072	2.13238	-2.79043	-1.56954	-2.6233	3.63604e-05	2.27906e-05	5.63553e-05	-2.41483e-05	8.09107e-06	-2.32253e-05	11.4655	36.2167	8.55746	5.90617	2.08083	-2.04425	
42	1580482312.696663641	0.00239947	-0.895071	2.13238	-2.79043	-1.56954	-2.6233	2.74145e-05	2.5979e-05	5.48462e-05	-3.52295e-05	1.4894e-05	-2.9641e-05	11.4673	36.2178	8.55865	5.9071	2.08022	-2.04445	
43	1580482312.704655356	0.00240307	-0.895073	2.13238	-2.79043	-1.56954	-2.6233	4.64339e-05	1.7887e-05	5.32987e-05	-3.98983e-05	2.11329e-05	-3.54888e-05	11.4682	36.2166	8.5583	5.90689	2.07963	-2.04372	
44	1580482312.712663524	0.00240259	-0.89507	2.13238	-2.79043	-1.56953	-2.6233	4.21501e-05	3.21245e-05	5.71616e-05	-3.86708e-05	2.68362e-05	-2.43628e-05	11.4685	36.217	8.55965	5.90812	2.08021	-2.04448	
45	1580482312.720656039	0.00240114	-0.89507	2.13238	-2.79043	-1.56953	-2.6233	3.26269e-05	2.89713e-05	4.97599e-05	-4.28467e-05	2.12195e-05	-3.03429e-05	11.4639	36.2245	8.5582	5.90847	2.07958	-2.04528	
46	1580482312.728670151	0.00240073	-0.895074	2.13238	-2.79043	-1.56954	-2.6233	2.91176e-05	9.64447e-06	4.81464e-05	-3.56451e-05	1.03804e-05	-2.50525e-05	11.4697	36.219	8.55898	5.9094	2.07952	-2.04513	
47	1580482312.736669218	0.00239935	-0.895072	2.13237	-2.79043	-1.56954	-2.6233	2.0415e-05	1.86245e-05	3.05125e-05	-3.44445e-05	5.87195e-06	-2.54294e-05	11.4691	36.222	8.5535	5.90838	2.07948	-2.04558	
48	1580482312.744680719	0.00239899	-0.895074	2.13237	-2.79043	-1.56954	-2.6233	1.76222e-05	5.46097e-06	3.00104e-05	-3.32483e-05	1.68124e-06	-2.57121e-05	11.4755	36.2236	8.55412	5.90981	2.08001	-2.04486	
49	1580482312.752671866	0.00239768	-0.895074	2.13237	-2.79043	-1.56954	-2.6233	9.68045e-06	9.26692e-06	1.89246e-05	-3.73264e-05	-2.20558e-06	-1.52666e-05	11.4679	36.2272	8.55297	5.90853	-3.09201	-2.04471	
50	1580482312.760692777	0.00239931	-0.895076	2.13237	-2.79043	-1.56954	-2.62329	1.80733e-05	-3.15262e-06	2.43054e-05	-3.57751e-05	-5.67486e-07	5.12418e-06	11.4655	8.37165	8.55436	5.90834	-1.9741	2.4775	
51	1580482312.768696427	0.00239894	-0.895075	2.13237	-2.79043	-1.56954	-2.62329	1.53278e-05	1.15786e-06	2.92199e-05	-3.42486e-05	9.48963e-07	2.39998e-05	11.4643	36.2222	8.55654	5.9071	1.94713	2.47683	
52	1580482312.776734609	0.00239859	-0.895075	2.13237	-2.79043	-1.56954	-2.62329	1.27297e-05	-2.6956e-08	3.36912e-05	-3.27481e-05	2.3493e-06	2.5607e-05	11.4654	21.9283	8.557	5.90771	2.07936	2.47669	
53	1580482312.784677623	0.0023992	-0.895073	2.13237	-2.79043	-1.56954	-2.62329	1.54409e-05	9.1469e-06	2.23242e-05	-4.15535e-05	-1.19842e-05	2.18886e-05	11.4658	36.2279	8.5553	5.90751	-3.09323	2.47736	
54	1580482312.792705848	0.00239883	-0.895073	2.13237	-2.79043	-1.56954	-2.62329	1.27664e-05	1.25168e-05	1.17167e-05	-4.96149e-05	-2.01404e-05	1.32719e-05	11.4596	36.2281	8.55445	5.90706	-3.09353	2.47663	
55	1580482312.800708230	0.00239657	-0.895073	2.13237	-2.79043	-1.56954	-2.62329	2.81482e-08	1.05265e-05	1.19947e-05	-5.18894e-05	-1.2219e-05	2.05773e-05	-3.62592	36.2276	8.55402	5.90638	-3.09298	2.47813	
56	1580482312.808771909	0.00239535	-0.895073	2.13237	-2.79043	-1.56954	-2.62329	-6.73124e-06	8.64625e-06	7.16568e-06	-5.38682e-05	-1.49353e-05	7.00488e-06	-19.5847	36.229	8.55444	5.90596	-3.09249	2.47794	
57	1580482312.816725517	0.00239324	-0.895073	2.13237	-2.79043	-1.56954	-2.62329	-1.80484e-05	1.18923e-05	-2.363e-06	-5.05481e-05	-7.38075e-06	9.44254e-06	-19.5929	36.2303	8.55186	5.90409	-3.09197	2.47753	
58	1580482312.824693723	0.00239497	-0.895073	2.13237	-2.79043	-1.56954	-2.62329	-8.45374e-06	9.87927e-06	-1.62048e-05	-4.73355e-05	-5.33842e-06	-3.29479e-06	-19.599	36.2348	8.55148	5.90396	-3.09172	-2.04312	
59	1580482312.832698707	0.0023957	-0.895072	2.13236	-2.79043	-1.56954	-2.62329	-4.51979e-06	1.29413e-05	-2.40668e-05	-4.91931e-05	-8.39179e-06	-5.19652e-06	-19.6078	36.2324	8.54961	5.90455	-3.09151	-2.04276	
