seq	time	fx	fy	fz	tx	ty	tz	
29	1580406960.718684153	-1.49833	22.8354	-9.59556	1.10642	2.32632	-2.83889	
30	1580406960.726668176	-2.58923	22.0238	-8.96029	1.08071	2.14644	-2.54261	
31	1580406960.734697687	-2.46437	22.6463	-9.58528	1.00353	2.13817	-2.54268	
32	1580406960.742741002	-1.36661	21.8972	-9.62747	1.02925	2.03073	-2.67097	
33	1580406960.750698302	-3.44844	21.9484	-8.42279	1.10642	2.05588	-2.48411	
34	1580406960.758750015	-1.89653	21.1747	-8.88111	1.0807	2.1205	-2.58785	
35	1580406960.766711083	-2.909	21.6703	-8.98415	1.18361	2.03773	-2.47777	
36	1580406960.774687878	-2.91858	22.664	-9.38603	1.3637	2.02456	-2.52614	
37	1580406960.782748073	-2.09037	22.402	-9.33632	0.977792	2.15339	-2.57292	
38	1580406960.790737380	-1.57865	21.5636	-9.3973	1.31225	2.14116	-2.43472	
39	1580406960.798709166	-2.43314	21.4987	-9.30851	1.18362	1.97756	-2.53018	
40	1580406960.806753214	-2.88251	22.591	-9.30928	1.02925	2.09242	-2.46856	
41	1580406960.814757007	-0.945237	20.7781	-9.17932	1.20935	2.25384	-2.44349	
42	1580406960.822703702	-2.33453	21.8947	-8.88929	0.977783	2.15005	-2.64302	
43	1580406960.830737855	-1.35812	22.5083	-9.32706	1.13215	2.53822	-2.80165	
44	1580406960.838774301	-2.2936	22.6191	-9.79242	1.05497	1.97993	-2.63177	
45	1580406960.846778003	-2.68376	21.445	-8.99841	0.952075	2.00448	-2.3248	
46	1580406960.854685056	-3.10064	21.7154	-8.97447	1.02924	1.96551	-2.46882	
47	1580406960.862700048	-2.00751	22.0884	-9.35211	1.13216	2.10295	-2.60148	
48	1580406960.870753984	-2.14921	21.5813	-9.1538	1.08068	2.12278	-2.47008	
49	1580406960.878729783	-1.09232	21.9955	-9.91313	0.977792	2.10164	-2.62157	
50	1580406960.886754232	-1.85466	22.5945	-10.0276	1.15789	2.0147	-2.63312	
51	1580406960.894684120	-2.2106	22.2944	-9.85752	1.05497	1.9737	-2.57331	
52	1580406960.902735307	-2.47698	22.3211	-9.43841	1.10643	2.01484	-2.60561	
53	1580406960.910753088	-2.63981	21.9883	-9.06842	1.18362	2.07321	-2.44641	
54	1580406960.918664366	-2.39546	21.8789	-9.43385	1.13215	2.02714	-2.51461	
55	1580406960.926718513	-2.19235	22.5608	-9.69527	1.13214	1.97453	-2.6753	
56	1580406960.934761823	-2.88612	22.6137	-9.26622	1.10643	2.04712	-2.55651	
57	1580406960.942687818	-2.97925	21.7126	-9.11905	1.02924	1.83647	-2.45942	
58	1580406960.950681434	-2.21359	22.189	-9.20928	1.0807	2.02937	-2.61824	
59	1580406960.958712371	-2.563	21.8181	-8.8485	0.900606	2.15438	-2.43675	
60	1580406960.966727179	-2.7641	22.3972	-9.62042	1.18361	1.96461	-2.5081	
61	1580406960.974728896	-2.859	22.8997	-9.49122	1.05498	2.0245	-2.49636	
62	1580406960.982758525	-2.05496	22.3915	-9.18777	1.05497	2.1668	-2.62863	
63	1580406960.990744641	-2.75452	22.4016	-9.14249	1.00351	1.99329	-2.58509	
64	1580406960.998748599	-2.50006	22.3526	-9.50976	1.05499	2.09638	-2.54489	
65	1580406961.006766946	-2.6864	23.0623	-9.91675	1.10642	1.88302	-2.53835	
66	1580406961.014743211	-1.97909	22.1606	-9.13032	1.33798	2.08043	-2.4981	
67	1580406961.022702951	-2.90629	22.9226	-9.43126	1.00353	1.94324	-2.59131	
68	1580406961.030733128	-2.22917	23.0898	-9.50218	0.952069	2.09888	-2.52841	
69	1580406961.038730524	-2.54736	21.5027	-9.46435	1.10643	1.88958	-2.48842	
70	1580406961.046748466	-1.41072	21.4185	-9.22194	1.13215	2.12873	-2.46212	
71	1580406961.054733744	-2.60147	21.9884	-9.03325	1.13215	2.07639	-2.50328	
72	1580406961.062697647	-2.7598	21.5394	-9.18213	0.952049	2.02958	-2.3861	
73	1580406961.070752507	-2.64764	22.1122	-9.29013	1.08071	1.95309	-2.48627	
74	1580406961.078734866	-2.01305	21.381	-8.83685	1.13215	2.19872	-2.4497	
75	1580406961.086708382	-2.10613	22.4959	-9.37762	0.977794	2.03692	-2.63116	
76	1580406961.094780623	-1.67257	21.557	-9.30138	1.15787	2.16563	-2.52849	
77	1580406961.102717642	-2.66124	21.8821	-8.93749	1.02925	2.00861	-2.42127	
78	1580406961.110745653	-2.45354	21.7756	-9.7047	1.05496	1.86368	-2.39757	
79	1580406961.118715327	-0.83959	21.1178	-9.36656	1.08071	2.21035	-2.5455	
80	1580406961.126722114	-2.81959	21.6831	-8.9563	1.05496	1.92035	-2.32515	
81	1580406961.134747469	-2.45097	22.3487	-9.2522	0.977783	2.05506	-2.62131	
82	1580406961.142704275	-2.44295	22.5752	-8.90039	1.23505	2.15824	-2.56852	
83	1580406961.150738658	-1.49778	22.1879	-9.4247	0.977796	2.24999	-2.55583	
84	1580406961.158786407	-2.47537	22.3437	-9.81821	1.1836	2.00375	-2.42185	
85	1580406961.166735277	-2.45742	22.3822	-9.16297	1.00352	2.06273	-2.62407	
86	1580406961.174696223	-1.56217	21.7197	-9.44693	1.00352	2.16333	-2.54978	
87	1580406961.182689230	-2.26641	21.9834	-9.28632	1.08071	2.05001	-2.58655	
88	1580406961.190745469	-2.94251	22.1184	-8.73841	1.00351	2.04461	-2.5385	
89	1580406961.198707406	-2.73791	21.6536	-8.93521	1.08068	2.01407	-2.51722	
90	1580406961.206722673	-2.8435	22.355	-9.40424	0.900609	1.96024	-2.57578	
91	1580406961.214683076	-1.96389	22.8993	-9.56169	1.15788	2.07969	-2.64544	
92	1580406961.222721795	-1.19506	21.4402	-9.65842	0.977795	2.06571	-2.65041	
93	1580406961.230745098	-2.53037	22.6809	-9.5139	0.952086	2.00639	-2.58092	
94	1580406961.238727427	-1.86138	22.6994	-10.2373	1.00351	1.98158	-2.52117	
95	1580406961.246686151	-2.42302	22.5518	-9.42544	0.926315	2.02499	-2.57499	
96	1580406961.254789901	-1.89559	21.9718	-9.65163	1.18361	1.98776	-2.62612	
97	1580406961.262755037	-3.35321	22.177	-9.02559	1.10643	1.94027	-2.58503	
98	1580406961.270724451	-2.85968	22.5116	-9.26911	1.15788	2.00809	-2.52507	
99	1580406961.278717672	-1.84873	21.9974	-9.41448	1.08069	2.03018	-2.55472	
100	1580406961.286778829	-2.68262	22.3799	-9.00187	1.28651	2.06749	-2.58954	
101	1580406961.294668554	-2.31007	21.6419	-9.01507	1.18361	2.04989	-2.54073	
102	1580406961.302714606	-2.95497	22.5175	-9.38909	1.02923	1.95046	-2.5844	
103	1580406961.310659775	-2.37548	21.8397	-8.8409	1.02926	2.20339	-2.4949	
104	1580406961.318712611	-1.7049	21.8891	-9.25263	0.874859	2.07997	-2.56464	
105	1580406961.326650435	-2.56381	22.4671	-9.47746	1.0807	1.96114	-2.59055	
106	1580406961.334695492	-2.02414	22.6864	-9.1558	1.05497	2.20588	-2.64788	
107	1580406961.342673012	-1.42415	22.0117	-9.72077	0.926329	2.12269	-2.53959	
108	1580406961.350701383	-2.11227	22.81	-9.44724	1.05497	2.07891	-2.57376	
109	1580406961.358691732	-2.86435	22.3142	-9.35799	1.08068	1.97392	-2.40647	
110	1580406961.366712871	-2.62651	22.3846	-9.44339	1.0035	2.0466	-2.23105	
111	1580406961.374704901	-2.96486	21.6549	-8.7896	1.08072	2.0417	-2.43996	
