seq	time	fx	fy	fz	tx	ty	tz	
39	1580406961.126722114	-31.7375	43.403	-14.0523	3.3229	-4.81724	-3.79486	
40	1580406961.134747469	-31.739	43.3795	-14.0367	3.343	-4.41968	-3.09866	
41	1580406961.142704275	18.5733	35.6579	-31.7309	-1.17713	1.16781	-1.47064	
42	1580406961.150738658	18.5834	35.6589	-31.7325	-1.17843	1.16998	-1.47094	
43	1580406961.158786407	18.5817	35.6607	-31.7392	-1.17725	1.16912	-1.46949	
44	1580406961.166735277	18.5802	35.6644	-31.7377	-1.17819	1.16903	-1.47063	
45	1580406961.174696223	18.5889	35.659	-31.7398	-1.17917	-0.333454	-4.10653	
46	1580406961.182689230	18.5895	35.655	-31.7412	-1.17918	-1.39303	-5.96372	
47	1580406961.190745469	18.5822	35.6567	-31.7331	-1.18011	-1.39318	-5.9639	
48	1580406961.198707406	18.5772	35.6547	-31.7256	-1.18008	-1.39359	-5.96396	
49	1580406961.206722673	18.5712	35.6565	-31.7276	-1.18211	-1.39496	-5.96432	
50	1580406961.214683076	18.5754	35.6649	-31.7304	-1.18123	-1.39486	-5.96556	
51	1580406961.222721795	18.5879	35.6566	-31.7349	-1.18235	-1.39496	-5.96676	
52	1580406961.230745098	18.5854	35.6626	-31.7378	-1.18377	-1.39573	-5.96732	
53	1580406961.238727427	18.59	35.6698	-31.7464	-1.18454	-1.39661	-5.96724	
54	1580406961.246686151	18.5887	35.6764	-31.7458	-1.18613	-1.39692	-5.96776	
55	1580406961.254789901	18.5931	35.6748	-31.7496	-1.18499	-1.39782	-5.96869	
56	1580406961.262755037	18.5822	35.6748	-31.7475	-1.18467	-1.39924	-5.96911	
57	1580406961.270724451	18.5767	35.6785	-31.7471	-1.18378	-1.39986	-5.96893	
58	1580406961.278717672	18.5818	35.676	-31.7486	-1.18375	-1.40024	-5.96892	
59	1580406961.286778829	18.5781	35.6797	-31.7441	-1.18166	-1.40008	-5.96953	
60	1580406961.294668554	18.5783	35.674	-31.7418	-1.18061	-1.40031	-5.96945	
61	1580406961.302714606	18.572	35.68	-31.741	-1.18109	-1.4013	-5.97003	
62	1580406961.310659775	18.5716	35.6763	-31.737	-1.18161	-1.39999	-5.96955	
63	1580406961.318712611	18.5776	35.676	-31.735	-1.18359	-1.39971	-5.9699	
64	1580406961.326650435	18.575	35.6813	-31.7354	-1.18354	-1.40065	-5.9706	
65	1580406961.334695492	18.5779	35.6876	-31.733	-1.18377	-1.39919	-5.9717	
66	1580406961.342673012	18.5863	35.6873	-31.7363	-1.18517	-1.39861	-5.97175	
67	1580406961.350701383	18.5962	29.9686	-28.4727	3.33668	-1.09269	-5.44688	
68	1580406961.358691732	18.5913	29.97	-28.4728	3.33673	-1.09352	-5.44555	
69	1580406961.366712871	18.5887	29.9723	-28.4738	3.33607	-1.09365	-5.44269	
70	1580406961.374704901	18.5828	29.9667	-28.47	3.33611	-1.09395	-5.44179	
